1282596	Wobkent Rayoni	40	3	A	ADM3	UZ	Europe/Zaporozhye
785416	Strezovce	426475	2150417	P	PPLL	XK	Europe/Belgrade
785424	Maja e Strellcit	4259838	2022894	T	MT	XK	Europe/Belgrade
785426	Strelica	426075	2159917	P	PPL	XK	Europe/Belgrade
785436	Straza	4252729	214341	P	PPL	XK	Europe/Belgrade
785438	Straza	4219667	1	P	PPL	XK	Europe/Belgrade
785474	Stitarica	4282611	2093194	P	PPL	XK	Europe/Belgrade
785485	Shtime	4243306	2103972	P	PPLA2	XK	Europe/Belgrade
785510	Fshati i Vjeter	4236444	2119583	P	PPL	XK	Europe/Belgrade
785513	Staro Rujce	4253167	2108528	P	PPL	XK	Europe/Belgrade
785514	Staro Poljance	4272944	2083278	P	PPL	XK	Europe/Belgrade
785520	Staro Gracko	42505	2110333	P	PPL	XK	Europe/Belgrade
785522	Staro Cikatovo	4265472	2090778	P	PPL	XK	Europe/Belgrade
785528	Stari Trg	4293694	2092056	P	PPL	XK	Europe/Belgrade
785531	Stari Kolasin	2	2066667	L	RGN	XK	Europe/Belgrade
785532	Kacanik i Vjeter	4229694	2122306	P	PPL	XK	Europe/Belgrade
785547	Starovcana	4237694	208875	P	PPL	XK	Europe/Belgrade
785551	Stara Reka	4229917	2070528	H	STM	XK	Europe/Belgrade
785575	Stankovc	4257194	2093611	P	PPL	XK	Europe/Belgrade
785579	Stanishor	4249333	2146361	P	PPL	XK	Europe/Belgrade
785583	Stancic	4226917	2151889	P	PPLL	XK	Europe/Belgrade
785599	Stagovo	2	2125083	P	PPLL	XK	Europe/Belgrade
785601	Babushe i Serbeve	4244861	2117528	P	PPL	XK	Europe/Belgrade
785623	Srednji Deo	430625	2086667	T	MT	XK	Europe/Belgrade
785628	Srednja Klina	4278472	2077917	P	PPL	XK	Europe/Belgrade
785637	Srbovac	4295222	2083833	P	PPL	XK	Europe/Belgrade
785641	Komuna e Skenderajt	4273333	2078333	A	ADM2	XK	Europe/Belgrade
785642	Srbica	4274667	2078861	P	PPLA2	XK	Europe/Belgrade
785646	Shpenadi	422725	1	P	PPL	XK	Europe/Belgrade
785662	Sosnica	4235889	2059444	H	STM	XK	Europe/Belgrade
785678	Sapniq	4238306	2058472	P	PPL	XK	Europe/Belgrade
785680	Sopina	4233639	2084417	P	PPL	XK	Europe/Belgrade
785698	Sokolica	4292528	2085194	T	MT	XK	Europe/Belgrade
785705	Sojeve	4237361	2122583	P	PPLL	XK	Europe/Belgrade
785709	Softaj	4240972	2120278	P	PPL	XK	Europe/Belgrade
785711	Sofalija	4266663	2120364	P	PPL	XK	Europe/Belgrade
785714	Socanica	4305472	1	P	PPLL	XK	Europe/Belgrade
785720	Smrekovnicka	4283639	209325	H	STM	XK	Europe/Belgrade
785721	Smrekovnica	4286861	2094111	P	PPL	XK	Europe/Belgrade
785730	Smolusa	2	2120056	P	PPL	XK	Europe/Belgrade
785732	Smonica	4239778	203125	P	PPL	XK	Europe/Belgrade
785737	Smira	4229917	2131833	P	PPL	XK	Europe/Belgrade
785757	Smaq	4233583	2050472	P	PPL	XK	Europe/Belgrade
785758	Smac	4230111	207225	P	PPL	XK	Europe/Belgrade
785760	Slup	4250889	2028194	P	PPLL	XK	Europe/Belgrade
785761	Slubica	4238556	2160139	P	PPLL	XK	Europe/Belgrade
785763	Slovinje	425225	1	P	PPL	XK	Europe/Belgrade
785770	Sljivovica	4288961	209949	P	PPL	XK	Europe/Belgrade
785776	Slivovo	4262278	2133444	P	PPL	XK	Europe/Belgrade
785777	Slivovo	4240889	2109861	P	PPLL	XK	Europe/Belgrade
785790	Shlepica	4236333	2043111	H	STM	XK	Europe/Belgrade
785812	Slatina	4308778	2111667	P	PPL	XK	Europe/Belgrade
785813	Slatina	4304722	2083222	P	PPL	XK	Europe/Belgrade
785815	Sllapuzhan	4238444	2083611	P	PPL	XK	Europe/Belgrade
785819	Slakovce	4287394	2105131	P	PPL	XK	Europe/Belgrade
785820	Slakovacka Reka	4276797	2101604	H	STM	XK	Europe/Belgrade
785824	Skulanevo	4255985	210816	P	PPL	XK	Europe/Belgrade
785827	Skrovna	4289168	2102067	P	PPL	XK	Europe/Belgrade
785834	Shkoza	4216389	2059111	P	PPL	XK	Europe/Belgrade
785836	Skorashnik	4252472	2077694	P	PPL	XK	Europe/Belgrade
785837	Skorobiste	4223222	2081056	P	PPL	XK	Europe/Belgrade
785840	Skopska Crna Gora	4219137	214839	T	MTS	XK	Europe/Skopje
785843	Skocna	4286637	2103211	P	PPL	XK	Europe/Belgrade
785845	Skocanska Cuka	4287109	2102735	T	MT	XK	Europe/Belgrade
785848	Skivjan	4243083	2038306	P	PPL	XK	Europe/Belgrade
785856	Sitnica	4290167	2087389	H	STM	XK	Europe/Belgrade
785858	Shishman	4237833	2032111	P	PPLL	XK	Europe/Belgrade
785865	Siroko Polje	4258639	2112222	T	PLN	XK	Europe/Belgrade
785872	Sirinic	4225667	2108917	L	RGN	XK	Europe/Belgrade
785879	Shipol	4286361	2084889	P	PPL	XK	Europe/Belgrade
785884	Sipitula	4266833	2100306	P	PPL	XK	Europe/Belgrade
785899	Sinajsko Brdo	4283833	2050583	T	MT	XK	Europe/Belgrade
785900	Sinaj	4279278	2052806	P	PPL	XK	Europe/Belgrade
785905	Silovo	4247944	2149556	P	PPL	XK	Europe/Belgrade
785910	Siljevica	4303833	2108111	P	PPL	XK	Europe/Belgrade
785926	Siga	4270972	2030556	P	PPLL	XK	Europe/Belgrade
785929	Sicevo	4273684	2121978	P	PPL	XK	Europe/Belgrade
785931	Sibovac	4268796	2100899	P	PPLL	XK	Europe/Belgrade
785944	Sevc	4220972	2095667	P	PPL	XK	Europe/Belgrade
785956	Sheremet	4243556	2033028	P	PPL	XK	Europe/Belgrade
785974	Senik	4248194	2082861	P	PPL	XK	Europe/Belgrade
785981	Semetiste	4239194	2080444	P	PPL	XK	Europe/Belgrade
785982	Semetiska Reka	4235667	2078444	H	STM	XK	Europe/Belgrade
785989	Selograzde	4230528	2084889	P	PPL	XK	Europe/Belgrade
785991	Seljance	4300083	2094806	P	PPLL	XK	Europe/Belgrade
786017	Sekiracki Potok	4282611	2140861	H	STM	XK	Europe/Belgrade
786023	Sedrova Reka	4301333	20915	H	STM	XK	Europe/Belgrade
786028	Sedlare	4262028	2173861	P	PPL	XK	Europe/Belgrade
786029	Sedlare	425025	2091611	P	PPL	XK	Europe/Belgrade
786033	Secishte	4213278	212975	P	PPL	XK	Europe/Belgrade
786046	Sazlija	4240639	2118611	P	PPL	XK	Europe/Belgrade
786050	Savrovo	4232528	2087444	P	PPL	XK	Europe/Belgrade
786066	Shashare	4228472	2144833	P	PPL	XK	Europe/Belgrade
